COD_CLIENTE,COD_COLCFO,ChaveCliente,CLIENTE
3686,3,3-3686,Imobiliária Jequié EIRELI
3722,2,2-3722,Comercial Cajazeiras S/A
3744,2,2-3744,Adriana de Oliveira Queiroz
3745,3,3-3745,Murilo Mendes Guimarães
3795,2,2-3795,Imobiliária Barreiras LTDA
3799,6,6-3799,Alexandre Ramos Campos
3805,5,5-3805,Letícia Pereira Nogueira
3812,2,2-3812,Maria Moreira Menezes
3820,5,5-3820,Distribuidora Atlântico LTDA
3822,6,6-3822,Aline Mendes Ferreira
3866,2,2-3866,Bruno Valadares
3868,3,3-3868,Everton Freitas Rezende
3903,6,6-3903,Construtora Costa Verde ME
3939,2,2-3939,Otávio Mendes Menezes
3947,2,2-3947,Ricardo Pereira Brandão
4026,3,3-4026,Michele Monteiro
4090,5,5-4090,Agropecuária Atlântico S/A
4093,3,3-4093,Marcelo de Oliveira Correia
4097,3,3-4097,Ricardo Mendes Macedo
4100,2,2-4100,Engenharia Bahia Sul ME
4155,5,5-4155,Agropecuária Vale do Norte EIRELI
4162,5,5-4162,Alimentos Monte Claro LTDA
4204,2,2-4204,Diego Bittencourt
4207,5,5-4207,Bianca de Souza Teixeira
4257,6,6-4257,Comercial Três Rios LTDA
4328,2,2-4328,Bianca Rocha
4332,5,5-4332,Distribuidora Jequié EIRELI
4366,5,5-4366,Engenharia Sol Nascente ME
4421,2,2-4421,Tatiana Ramos Macedo
4428,2,2-4428,Jaqueline Pereira Maciel
4455,4,4-4455,Sandra da Silva Maciel
4468,2,2-4468,Engenharia Vale do Norte ME
4539,6,6-4539,Cristiane dos Santos Peixoto
4540,5,5-4540,Gustavo Mendes Aragão
4543,7,7-4543,Tiago Fontes
4544,3,3-4544,Engenharia Boa Vista ME
4557,2,2-4557,Ana Pacheco
4576,5,5-4576,Rodrigo de Souza Siqueira
4583,3,3-4583,Comercial São Gonçalo S/A
4592,5,5-4592,Agropecuária Sertão Novo LTDA
4611,5,5-4611,Roberto Carlos Menezes
4646,6,6-4646,Indústria Sertão Novo ME
4678,6,6-4678,Carlos Ramos Batista
4702,7,7-4702,Agropecuária Sertão Novo ME
4811,3,3-4811,Ana Paula Nogueira Lima
4829,7,7-4829,Everton Freitas Bittencourt
4911,7,7-4911,Agropecuária Cajazeiras LTDA
4939,2,2-4939,Rafael Ramos Guimarães
4974,2,2-4974,Distribuidora Pedra Alta ME
4988,2,2-4988,Rogério Valadares
5042,7,7-5042,Maria Mendes Furtado
5068,3,3-5068,Priscila da Silva Fontes
5078,3,3-5078,Jaqueline Mendes Dourado
5269,5,5-5269,Transportadora Serra Azul EIRELI
5289,2,2-5289,Márcio Freitas Correia
5290,6,6-5290,Felipe de Oliveira Pacheco
5314,2,2-5314,Administradora Boa Vista LTDA
5321,2,2-5321,Ana dos Santos Bastos
5340,7,7-5340,José Mendes Brandão
5390,5,5-5390,Elaine Pereira Teixeira
5404,6,6-5404,Engenharia Horizonte ME
5439,2,2-5439,Larissa Mendes Fontes
5451,3,3-5451,Transportadora Bahia Sul S/A
5467,3,3-5467,Alimentos Mangabeira EIRELI
5468,6,6-5468,Engenharia Horizonte ME
5503,4,4-5503,Priscila de Oliveira Tavares
5510,2,2-5510,Natália Mendes Coutinho
5514,4,4-5514,Mariana Ramos Rocha
5557,4,4-5557,Distribuidora Sol Nascente LTDA
5562,5,5-5562,Otávio Dourado
5565,3,3-5565,Carlos Monteiro
5582,7,7-5582,Daniel de Souza Duarte
5620,4,4-5620,Murilo Pereira Sampaio
5624,2,2-5624,Comercial Sol Nascente ME
5628,7,7-5628,Murilo de Oliveira Macedo
5651,3,3-5651,Larissa de Souza Maciel
5653,2,2-5653,Camila da Silva Campos
5658,3,3-5658,Patrícia de Souza Dourado
5675,6,6-5675,Wellington de Oliveira Teixeira
5679,4,4-5679,Cristiane Mendes Brandão
5698,7,7-5698,Indústria São Rafael LTDA
5763,5,5-5763,Adriana Almeida
5792,4,4-5792,Eduardo da Silva Campos
5797,2,2-5797,Daniel dos Santos Macedo
5805,7,7-5805,Elaine Freitas Bastos
5813,2,2-5813,Engenharia Ponta Negra ME
5816,5,5-5816,Engenharia Jequié ME
5887,3,3-5887,Rogério Pereira Campos
5910,3,3-5910,Alimentos Três Rios LTDA
5925,2,2-5925,Administradora Ouro Branco S/A
5951,7,7-5951,Construtora Lauro Freitas EIRELI
5997,6,6-5997,Luciana de Oliveira Siqueira
6086,2,2-6086,Jaqueline Freitas Aragão
6108,3,3-6108,Imobiliária Vitória Régia LTDA
6173,4,4-6173,Leandro Bastos
6183,3,3-6183,Fernanda Moreira Lima
6199,2,2-6199,Imobiliária Bahia Sul ME
6202,5,5-6202,Camila Mendes Siqueira
6229,4,4-6229,Cristiane Freitas Rocha
6246,6,6-6246,Sérgio Ramos Duarte
6351,4,4-6351,Rogério Ramos Sampaio
6353,4,4-6353,Engenharia Camaçari LTDA
6375,4,4-6375,Alexandre Mendes Valadares
6398,2,2-6398,Fábio Freitas Rezende
6436,6,6-6436,Jaqueline Queiroz
6437,7,7-6437,Carla Pereira Bittencourt
6500,5,5-6500,Tatiana Moreira Vasconcelos
6516,7,7-6516,Aline Mendes Lima
6532,3,3-6532,Patrícia Guimarães
6550,4,4-6550,Alimentos Mangabeira S/A
6557,5,5-6557,Rafael Pereira Pacheco
6582,3,3-6582,Leandro Pereira Furtado
6615,5,5-6615,Anderson Correia
6626,6,6-6626,Ana Bittencourt
6660,5,5-6660,Beatriz Aragão
6721,3,3-6721,Daniel de Souza Cavalcante
6738,5,5-6738,Logística Atlântico ME
6775,3,3-6775,Logística Ouro Branco EIRELI
6814,3,3-6814,Larissa Lima
6818,5,5-6818,Metalúrgica Jequié ME
6832,5,5-6832,Beatriz da Silva Bastos
6868,5,5-6868,Alimentos Bahia Sul ME
6877,7,7-6877,Indústria Mangabeira ME
6919,7,7-6919,Alexandre da Silva Carvalho
6957,2,2-6957,Carlos Lima
6964,2,2-6964,Transportadora Cajazeiras S/A
6975,2,2-6975,Igor Ferreira
7040,2,2-7040,Murilo da Silva Brandão
7082,6,6-7082,Natália de Souza Rezende
7084,7,7-7084,Márcio Batista
7089,3,3-7089,Alimentos Primavera ME
7095,6,6-7095,Diego dos Santos Ferreira
7100,4,4-7100,Rodrigo Rezende
7104,2,2-7104,Sérgio de Souza Barbosa
7150,5,5-7150,Priscila Valadares
7173,5,5-7173,Adriana de Souza Amorim
7186,3,3-7186,Rebeca Moreira Furtado
7193,4,4-7193,Débora Mendes Teixeira
7198,6,6-7198,Patrícia Freitas Carvalho
7219,4,4-7219,Metalúrgica Vale do Norte ME
7242,2,2-7242,Beatriz Mendes Guimarães
7253,2,2-7253,Diego Correia
7331,7,7-7331,Carlos Batista
7352,7,7-7352,Diego Freitas Macedo
7371,6,6-7371,Rebeca Rezende
7373,3,3-7373,Vinícius Coutinho
7394,7,7-7394,Larissa Freitas Correia
7396,7,7-7396,Everton Mendes Duarte
7405,4,4-7405,Rodrigo Mendes Sampaio
7427,4,4-7427,Tatiana Mendes Siqueira
7442,4,4-7442,Indústria Vitória Régia S/A
7456,3,3-7456,Agropecuária Três Rios ME
7482,3,3-7482,Ana Pereira Rezende
7490,6,6-7490,Everton Correia
7504,2,2-7504,Bianca Barbosa
7516,4,4-7516,Distribuidora Horizonte LTDA
7545,2,2-7545,Alexandre de Oliveira Rocha
7562,4,4-7562,Distribuidora Jequié S/A
7581,2,2-7581,Metalúrgica Atlântico S/A
7616,7,7-7616,Daniel Ramos Vasconcelos
7617,5,5-7617,Larissa da Silva Monteiro
7628,4,4-7628,Cristiane Coutinho
7713,4,4-7713,Distribuidora Horizonte S/A
7789,4,4-7789,Mariana Freitas Furtado
7793,3,3-7793,André Freitas Lima
7804,4,4-7804,Otávio da Silva Tavares
7835,6,6-7835,Administradora Três Rios S/A
7873,6,6-7873,Fernando Augusto Tavares
7878,2,2-7878,Priscila Freitas Maciel
7900,7,7-7900,Diego Rezende
7904,5,5-7904,Cristiane Guimarães
7913,2,2-7913,Sandra Ramos Lima
7925,5,5-7925,Transportadora Nova Aliança EIRELI
7935,2,2-7935,Rodrigo Ramos Menezes
7958,7,7-7958,Comercial Paralela EIRELI
8024,7,7-8024,Ricardo Moreira Queiroz
8047,3,3-8047,Administradora Pedra Alta ME
8069,6,6-8069,Construtora Vale do Norte LTDA
8088,7,7-8088,Letícia Ramos Monteiro
8121,6,6-8121,Maria Cavalcante
8130,2,2-8130,Distribuidora Lauro Freitas EIRELI
8132,4,4-8132,Logística Nova Aliança EIRELI
8141,3,3-8141,Rogério dos Santos Pacheco
8224,6,6-8224,Ricardo Freitas Menezes
8264,3,3-8264,Maria Rezende
8323,3,3-8323,Wellington dos Santos Sampaio
8359,2,2-8359,Patrícia Gomes Andrade
8379,2,2-8379,Indústria São Rafael ME
8407,4,4-8407,Agropecuária Atlântico ME
8432,7,7-8432,Agropecuária Mangabeira S/A
8477,5,5-8477,Diego Menezes
8542,6,6-8542,Logística Primavera EIRELI
8567,4,4-8567,Débora Pereira Menezes
8581,6,6-8581,Carlos da Silva Nogueira
8618,6,6-8618,Felipe Furtado
8629,3,3-8629,Priscila Aragão
8651,4,4-8651,Distribuidora Itaparica EIRELI
8683,7,7-8683,Bruno Freitas Brandão
8698,4,4-8698,Administradora Ouro Branco ME
8715,6,6-8715,Tiago da Silva Sampaio
8725,7,7-8725,Mariana Guimarães
8736,3,3-8736,Daniel Carvalho
8749,6,6-8749,Fábio Mendes Peixoto
8755,5,5-8755,José Cavalcante
8770,5,5-8770,Rodrigo Pereira Campos
8797,2,2-8797,Alexandre Pereira Almeida
8815,4,4-8815,Sérgio da Silva Monteiro
8839,6,6-8839,Engenharia Ouro Branco LTDA
8894,4,4-8894,Rafael Coutinho
8895,5,5-8895,Rogério Freitas Brandão
8900,5,5-8900,Serviços São Gonçalo ME
8941,4,4-8941,Diego Freitas Siqueira
8954,4,4-8954,José da Silva Rezende
8979,3,3-8979,Fernanda da Silva Pacheco
8999,4,4-8999,Eduardo da Silva Sampaio
9039,6,6-9039,Imobiliária Itaparica LTDA
9044,5,5-9044,Logística Camaçari LTDA
9045,3,3-9045,Engenharia Monte Claro EIRELI
9073,3,3-9073,Administradora Mangabeira LTDA
9096,3,3-9096,Rodrigo Moreira Siqueira
9101,6,6-9101,Metalúrgica Nova Aliança EIRELI
9134,2,2-9134,Gustavo Pereira Vasconcelos
9188,6,6-9188,Otávio de Oliveira Almeida
9205,4,4-9205,Transportadora Boa Vista LTDA
9213,4,4-9213,Eduardo Moreira Cavalcante
9220,6,6-9220,Larissa Pereira Queiroz
9241,3,3-9241,Letícia de Oliveira Bastos
9266,5,5-9266,Natália de Oliveira Guimarães
9270,6,6-9270,Rogério dos Santos Andrade
9279,2,2-9279,Construtora Horizonte ME
9298,7,7-9298,Engenharia Jequié LTDA
9328,2,2-9328,Camila dos Santos Sampaio
9348,3,3-9348,Vinícius Mendes Furtado
9402,2,2-9402,Aline Ramos Teixeira
9478,2,2-9478,Indústria Vitória Régia S/A
9482,4,4-9482,Sandra Menezes
9527,2,2-9527,Larissa dos Santos Siqueira
9530,2,2-9530,Carlos Pereira Lima
9545,6,6-9545,Simone Vasconcelos
9582,6,6-9582,Paulo de Oliveira Peixoto
9585,4,4-9585,Márcio Almeida
9639,7,7-9639,Bianca de Oliveira Dourado
9641,7,7-9641,Transportadora Nova Aliança ME
9660,6,6-9660,Murilo de Oliveira Fontes
9681,5,5-9681,Daniel Mendes Bittencourt
9689,5,5-9689,Construtora Rio Vermelho S/A
9700,6,6-9700,Wellington da Silva Correia
9844,7,7-9844,Aline dos Santos Duarte
9875,7,7-9875,José da Silva Guimarães
9928,7,7-9928,Luiz Henrique Barbosa
9974,4,4-9974,Adriana dos Santos Monteiro
9986,3,3-9986,Jaqueline Rezende
